trip_id,route_id,service_id,shape_id
0,18178778,Mo-Su,18178778
1,18212710,Mo-Su,18212710
2,18212712,Mo-Su,18212712
3,18212716,Mo-Su,18212716
4,18212734,Mo-Su,18212734
5,18212736,Mo-Su,18212736
6,18212738,Mo-Su,18212738
7,18212742,Mo-Su,18212742
8,18212744,Mo-Su,18212744
9,18212752,Mo-Su,18212752
10,18212798,Mo-Su,18212798
11,18212802,Mo-Su,18212802
12,18212806,Mo-Su,18212806
13,18212813,Mo-Su,18212813
14,18212821,Mo-Su,18212821
15,18212846,Mo-Su,18212846
16,18265943,Mo-Su,18265943
17,18265967,Mo-Su,18265967
18,18265983,Mo-Su,18265983
19,18266002,Mo-Su,18266002
20,18266011,Mo-Su,18266011
21,18266023,Mo-Su,18266023
22,18266067,Mo-Su,18266067
23,18266070,Mo-Su,18266070
24,18266131,Mo-Su,18266131
25,18266173,Mo-Su,18266173
26,18266201,Mo-Su,18266201
27,18266208,Mo-Su,18266208
28,18266214,Mo-Su,18266214
29,18268019,Mo-Su,18268019
30,18268037,Mo-Su,18268037
31,18268072,Mo-Su,18268072
32,18268107,Mo-Su,18268107
33,18268117,Mo-Su,18268117
34,18268120,Mo-Su,18268120
35,18268133,Mo-Su,18268133
36,18268136,Mo-Su,18268136
37,18268140,Mo-Su,18268140
38,18268144,Mo-Su,18268144
39,18268152,Mo-Su,18268152
40,18268203,Mo-Su,18268203
41,18268365,Mo-Su,18268365
42,18268510,Mo-Su,18268510
43,18268545,Mo-Su,18268545
44,18268559,Mo-Su,18268559
45,18269212,Mo-Su,18269212
46,18284841,Mo-Su,18284841
47,18289699,Mo-Su,18289699
48,18289706,Mo-Su,18289706
49,18291846,Mo-Su,18291846
50,18291869,Mo-Su,18291869
51,18291925,Mo-Su,18291925
52,18291941,Mo-Su,18291941
53,18291951,Mo-Su,18291951
54,18291954,Mo-Su,18291954
55,18291959,Mo-Su,18291959
56,18291963,Mo-Su,18291963
57,18291971,Mo-Su,18291971
58,18291974,Mo-Su,18291974
59,18291977,Mo-Su,18291977
60,18291998,Mo-Su,18291998
61,18292006,Mo-Su,18292006
62,18292016,Mo-Su,18292016
63,18292017,Mo-Su,18292017
64,18292019,Mo-Su,18292019
65,18292021,Mo-Su,18292021
66,18292060,Mo-Su,18292060
67,18292175,Mo-Su,18292175
68,18292226,Mo-Su,18292226
69,18334498,Mo-Su,18334498
70,18334502,Mo-Su,18334502
71,18334522,Mo-Su,18334522
72,18334536,Mo-Su,18334536
73,18334552,Mo-Su,18334552
74,18494467,Mo-Su,18494467
75,18494515,Mo-Su,18494515
76,18510029,Mo-Su,18510029
77,18510108,Mo-Su,18510108
78,18511109,Mo-Su,18511109
79,18582498,Mo-Su,18582498
80,18702473,Mo-Su,18702473
81,18704711,Mo-Su,18704711
82,18704717,Mo-Su,18704717
83,18704763,Mo-Su,18704763
84,18704775,Mo-Su,18704775
85,18704787,Mo-Su,18704787
86,18704821,Mo-Su,18704821
87,18704854,Mo-Su,18704854
88,18708785,Mo-Su,18708785
89,18708963,Mo-Su,18708963
90,18709005,Mo-Su,18709005
91,18709021,Mo-Su,18709021
92,18709039,Mo-Su,18709039
93,18709052,Mo-Su,18709052
94,18709057,Mo-Su,18709057
95,18709058,Mo-Su,18709058
96,18709064,Mo-Su,18709064
97,18709204,Mo-Su,18709204
98,18709212,Mo-Su,18709212
99,18709213,Mo-Su,18709213
100,18709218,Mo-Su,18709218
101,18718061,Mo-Su,18718061
102,18718067,Mo-Su,18718067
103,18718069,Mo-Su,18718069
104,18722171,Mo-Su,18722171
105,18732687,Mo-Su,18732687
106,18732690,Mo-Su,18732690
107,18732693,Mo-Su,18732693
108,18732694,Mo-Su,18732694
109,18732696,Mo-Su,18732696
110,18732701,Mo-Su,18732701
